Bussiness__City,Bussiness__Country,Bussiness__Description,Bussiness__Name,Bussiness__StreetAddress,Bussiness__Zipcode,Customer__Address__line1,Customer__Address__line2,Customer__Email,Customer__Name,Customer__PhoneNumber,Invoice__BillDetails__Name,Invoice__BillDetails__Quantity,Invoice__BillDetails__Rate,Invoice__Description,Invoice__DueDate,Invoice__IssueDate,Invoice__Number,Invoice__Tax
"Jamestown,","Tennessee, USA ",We are here to serve you better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics ,3741 Glory Road,38556 , 8236 O'Hara Glens  , Moutsamoudou  , Cary.Zboncak@gmail.com  , Cary Zboncak  , 741-215-8162  , 23  , 70  , $1610  , $37930.2  , 23  , 741-215-8162  , 741-215-8162  ,
"Jamestown,","Tennessee, USA ",We are here to serve you better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics ,3741 Glory Road,38556 ,,,, ,, 43  , 76  , $3268  , Due date: 28-06-2023  , Cotton Ground  , BILL TO  , BILL TO  ,
"Jamestown,","Tennessee, USA ",BILL TO ,NearBy Electronics ,3741 Glory Road,38556 , 8236 O'Hara Glens  , Moutsamoudou  , Cary.Zboncak@gmail.com  , Cary Zboncak  , 741-215-8162  , Fantastic Fresh Fish  , 53  , 65  , $46778.6  , 126  , DETAILS  , Moutsamoudou  ,
"Jamestown,","Tennessee, USA ",We are here to serve you better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics ,3741 Glory Road,38556 , 750-257-9345  , 9874 Bayer Road  , Garry_Hegmann59@hotma  , Garry Hegmann  , il.com  , Handcrafted Plastic Bike  , 42  , 44  , ITEM  , Handcrafted Plastic Bike  , il.com  , Garry_Hegmann59@hotma  ,
"Jamestown,","Tennessee, USA ",We are here to serve you better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics ,3741 Glory Road,38556 , 783-402-5895  , 353 Cara Shoals  , Willis_Koelpin4@yahoo.co  , Willis Koelpin  , m  , Small Fresh Salad  , 95  , 69  , ITEM  , Small Fresh Salad  , m  , m  ,
"Jamestown, Tennessee, USA",38556 ,PAYMENT ,NearBy Electronics ,3741 Glory Road,Invoice# TG67TS4201156943079376302586 Issue date 12-05-2023 ,,,, ,, 28  , 60  , $1680  , m  , Awesome Fresh Hat  , BILL TO  , BILL TO  ,
"Jamestown,","Tennessee, USA ",Candace Gerhold ,NearBy Electronics ,3741 Glory Road,38556 , 533 Hintz Pine  , Cotton Ground  , Candace3@yahoo.com  , Candace Gerhold  , 633-008-6596  , 7  , 58  , $406  , Due date: 26-06-2023  , 7  , 533 Hintz Pine  , 633-008-6596  ,
"Jamestown,","Tennessee, USA ",We are here to serve you better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics ,3741 Glory Road,38556 , 110-825-4839  , 121 Jacobs River  , Don_Zulauf40@hotmail.co  , Don Zulauf  , m  , $5408  , Generic Plastic Bacon  , 13  , Fantastic Granite Tuna  , 13  , 121 Jacobs River  , 121 Jacobs River  ,
"Jamestown,","Tennessee, USA ",BILL TO ,NearBy Electronics ,3741 Glory Road,38556 ,,,, ,, 58  , 65  , $3770  , m  , Fantastic Rubber Gloves  , BILL TO  , BILL TO  ,
"Jamestown,","Tennessee, USA ",We are here to serve you better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics ,3741 Glory Road,38556 ,,,, ,, 80  , 40  , $3200  , 415-897-1517  , 80  , BILL TO  , BILL TO  ,
"Jamestown,","Tennessee, USA ",We are here to serve you better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics ,3741 Glory Road,38556 , 8236 O'Hara Glens  , Moutsamoudou  , Cary.Zboncak@gmail.com  , Cary Zboncak  , 741-215-8162  , 124  , 15  , $1860  , 16  , 124  , 8236 O'Hara Glens  , 8236 O'Hara Glens  ,
"Jamestown,","Tennessee, USA ",We are here to serve you better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics ,3741 Glory Road,38556 ,,,, ,, 72  , 18  , $1296  , Due date: 04-07-2023  , laborum labore ullamco commodo consectetur  , PAYMENT  , BILL TO  ,
"Jamestown,","Tennessee, USA ",We are here to serve you better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics ,3741 Glory Road,38556 ,,,, ,, 75  , 51  , $3825  , elit deserunt aute enim ad  , RATE  , BILL TO  , BILL TO  ,
"Jamestown,","Tennessee, USA ",We are here to serve you better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics ,3741 Glory Road,38556 ,,,, ,, 22  , 14  , $308  , Due date: 28-06-2023  , consectetur enim exercitation commodo mollit officia sunt  , Candace Gerhold  , PAYMENT  ,
"Jamestown,","Tennessee, USA ",We are here to serve you better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics ,3741 Glory Road,38556 , 402-261-8314  , 355 Muller Field  , Richard_Rodriguez@hotm  , Richard Rodriguez  , ail.com  , Awesome Frozen Fish  , 124  , 90  , 46  , $805  , Richard_Rodriguez@hotm  , Richard_Rodriguez@hotm  ,
